Chr,Start,End,Rep.TSS,Strand,Location,GeneID,TranscriptID
KhS1007,5917,5917,5917,+,TSS,KH.S1007.2,KH.S1007.2.v1.A.nonSL1-1
KhC12,1114552,1114651,1114606,-,intron,KH.C12.430,KH.C12.430.v1.A.ND1-1
KhC1,6824952,6825014,6824984,-,TSS,KH.C1.1261,KH.C1.1261.v1.A.nonSL10-1
KhL112,133164,133229,133166,-,TSS,KH.L112.28,KH.L112.28.v1.A.nonSL23-1
KhS1231,8825,8861,8861,-,5UTR,KH.S1231.1,KH.S1231.1.v1.A.nonSL2-1
KhC12,2802588,2802645,2802606,-,TSS,KH.C12.576,KH.C12.576.v1.A.nonSL2-1
KhC9,368551,368553,368553,+,TSS,KH.C9.561,KH.C9.561.v2.A.ND1-1
KhC1,2745711,2745714,2745711,+,TSS,KH.C1.1072,KH.C1.1072.v1.A.nonSL2-1
KhC11,4550816,4550816,4550816,+,intergenic,KH.C11.577,KH.C11.577.v2.A.nonSL3-1
KhC10,3191967,3191974,3191967,+,intergenic,KH.C10.589,KH.C10.589.v1.A.ND1-1
KhC1,2400256,2400339,2400339,-,TSS,KH.C1.256,KH.C1.256.v1.A.nonSL12-1
KhL112,129006,129028,129022,+,TSS,KH.L112.6,KH.L112.6.v1.A.nonSL10-1
KhC7,5019079,5019116,5019085,+,5UTR,KH.C7.240,KH.C7.240.v1.A.SL1-1
KhL116,695760,695838,695795,+,TSS,KH.L116.10,KH.L116.10.v2.A.ND4-1
KhC4,377517,377540,377517,-,intergenic,KH.C4.419,KH.C4.419.v1.A.ND1-1
KhS424,14746,14755,14748,+,TSS,KH.S424.1,KH.S424.1.v1.B.nonSL1-1
KhC10,4477802,4477811,4477804,-,5UTR,KH.C10.363,KH.C10.363.v1.A.ND1-1
KhC5,4655088,4655088,4655088,-,intergenic,KH.C5.13,KH.C5.13.v1.A.ND1-1
KhL47,86151,86214,86194,+,TSS,KH.L47.1,KH.L47.1.v1.A.nonSL6-1
KhL107,14678,14731,14690,+,TSS,KH.L107.1,KH.L107.1.v1.A.nonSL2-1
KhC9,9459,9489,9466,-,TSS,KH.C9.53,KH.C9.53.v6.B.nonSL8-2
KhC8,4977263,4977266,4977265,-,TSS,KH.C8.892,KH.C8.892.v1.A.nonSL2-1
KhC7,5816609,5816641,5816609,+,intergenic,KH.C7.400,KH.C7.400.v2.A.nonSL2-1
KhC3,3890255,3890297,3890294,-,TSS,KH.C3.109,KH.C3.109.v1.A.nonSL4-1
KhC8,3446472,3446484,3446484,+,intron,KH.C8.654,KH.C8.654.v1.A.SL1-1
KhC3,3286380,3286468,3286460,-,TSS,KH.C3.475,KH.C3.475.v1.A.nonSL8-1
KhC2,251925,251935,251925,-,intergenic,KH.C2.604,KH.C2.604.v1.A.ND1-1
KhC3,266543,266543,266543,-,TSS,KH.C3.406,KH.C3.406.v3.A.nonSL4-1
KhC2,4802522,4802527,4802522,+,intron,KH.C2.539,KH.C2.539.v1.B.ND1-1
KhL24,64332,64332,64332,+,TSS,KH.L24.2,KH.L24.2.v1.B.nonSL6-1
KhC1,3169382,3169414,3169409,+,intergenic,KH.C1.356,KH.C1.356.v1.A.ND2-2
KhC7,5841497,5841563,5841505,+,TSS,KH.C7.82,KH.C7.82.v1.A.nonSL7-1
KhC5,611164,611276,611190,+,TSS,KH.C5.63,KH.C5.63.v1.A.nonSL9-1
KhS1303,2546,2546,2546,-,TSS,KH.S1303.1,KH.S1303.1.v2.A.nonSL3-1
KhC8,379134,379166,379134,-,intergenic,KH.C8.1,KH.C8.1.v1.A.ND1-1
KhS1251,8997,9102,9102,-,TSS,KH.S1251.1,KH.S1251.1.v1.A.nonSL9-1
KhL167,26492,26492,26492,-,intron,KH.L167.2,KH.L167.2.v1.B.ND1-1
KhC13,388283,388285,388285,-,intergenic,KH.C13.185,KH.C13.185.v1.C.ND1-1
KhC2,1359724,1359749,1359734,+,TSS,KH.C2.850,KH.C2.850.v1.A.ND1-1
KhC1,7723611,7723612,7723612,+,TSS,KH.C1.242,KH.C1.242.v1.A.nonSL2-1
KhC1,3261630,3261664,3261664,+,TSS,KH.C1.156,KH.C1.156.v1.A.nonSL7-1
KhC6,1553675,1553682,1553678,+,intergenic,KH.C6.288,KH.C6.288.v1.B.ND1-1
KhL114,37396,37396,37396,+,intergenic,KH.L114.3,KH.L114.3.v1.A.nonSL2-1
KhC3,5961120,5961134,5961126,-,intergenic,KH.C3.554,KH.C3.554.v1.C.ND1-1
KhC12,4259256,4259330,4259330,+,intergenic,KH.C12.439,KH.C12.439.v2.A.ND3-1
KhL150,1199,1216,1212,+,intergenic,KH.L150.3,KH.L150.3.v2.A.ND2-1
KhC2,3440906,3440916,3440916,+,intergenic,KH.C2.163,KH.C2.163.v1.A.ND1-1
KhC2,3511978,3512057,3511986,-,TSS,KH.C2.722,KH.C2.722.v1.A.nonSL6-1
KhC1,6156587,6156707,6156705,-,TSS,KH.C1.456,KH.C1.456.v1.A.nonSL2-1
KhC3,4102171,4102254,4102171,-,TSS,KH.C3.952,KH.C3.952.v1.A.nonSL2-1
KhC9,1749515,1749566,1749522,-,TSS,KH.C9.30,KH.C9.30.v2.A.nonSL4-1
KhC4,2590397,2590451,2590422,-,intergenic,KH.C4.356,KH.C4.356.v1.A.nonSL9-1
KhC9,6444353,6444353,6444353,+,intron,KH.C9.59,KH.C9.59.v1.A.SL1-1
KhS544,21877,21957,21905,+,TSS,KH.S544.1,KH.S544.1.v1.A.nonSL5-1
KhC10,4118079,4118079,4118079,+,intergenic,KH.C10.168,KH.C10.168.v1.A.ND2-1
KhC11,3626978,3626980,3626978,-,TSS,KH.C11.315,KH.C11.315.v1.A.nonSL2-1
KhC5,3316242,3316266,3316264,+,TSS,KH.C5.512,KH.C5.512.v1.A.ND1-1
KhC9,1449660,1449738,1449698,-,TSS,KH.C9.547,KH.C9.547.v1.A.ND1-1
KhS612,12919,12922,12922,+,TSS,KH.S612.4,KH.S612.4.v1.A.nonSL5-1
KhC3,3329597,3329609,3329606,-,intergenic,KH.C3.290,KH.C3.290.v1.A.nonSL2-1
KhL126,20261,20286,20272,+,TSS,KH.L126.11,KH.L126.11.v1.B.nonSL20-1
KhC8,4715748,4715748,4715748,-,intergenic,KH.C8.273,KH.C8.273.v3.A.ND3-1
KhC8,2103466,2103512,2103488,+,TSS,KH.C8.179,KH.C8.179.v1.A.ND1-1
KhC6,265809,265849,265816,-,intergenic,KH.C6.262,KH.C6.262.v1.A.nonSL2-1
KhL141,322580,322625,322617,+,intergenic,KH.L141.63,KH.L141.63.v1.A.ND1-1
KhL9,96502,96588,96512,+,TSS,KH.L9.32,KH.L9.32.v1.A.nonSL6-1
KhL112,112773,112776,112776,+,TSS,KH.L112.16,KH.L112.16.v1.A.nonSL2-1
KhC1,5361495,5361536,5361522,+,TSS,KH.C1.1217,KH.C1.1217.v1.A.nonSL2-1
KhL20,509574,509592,509579,-,intergenic,KH.L20.59,KH.L20.59.v1.C.ND1-1
KhC9,4462479,4462574,4462489,+,TSS,KH.C9.898,KH.C9.898.v1.A.nonSL45-1
KhC2,3309552,3309556,3309556,+,TSS,KH.C2.514,KH.C2.514.v1.A.ND1-1
KhC9,3033339,3033472,3033398,-,intergenic,KH.C9.324,KH.C9.324.v1.A.ND1-1
KhC12,2780802,2780835,2780802,-,intergenic,KH.C12.311,KH.C12.311.v1.C.ND1-1
KhC9,5813429,5813486,5813429,+,TSS,KH.C9.385,KH.C9.385.v1.A.nonSL2-1
KhL34,93643,93658,93643,+,TSS,KH.L34.6,KH.L34.6.v1.C.nonSL20-1
KhC7,1741740,1741772,1741763,+,TSS,KH.C7.785,KH.C7.785.v1.A.nonSL2-1
KhC11,4380148,4380152,4380152,-,TSS,KH.C11.645,KH.C11.645.v1.A.nonSL2-1
KhC1,2173106,2173152,2173149,-,TSS,KH.C1.1144,KH.C1.1144.v1.A.nonSL13-1
KhS529,40032,40083,40032,+,intergenic,KH.S529.3,KH.S529.3.v1.B.ND1-1
KhC6,1589196,1589209,1589205,+,intron,KH.C6.6,KH.C6.6.v1.A.SL2-1
KhL122,6985,7009,7001,+,TSS,KH.L122.8,KH.L122.8.v1.A.ND1-1
KhC1,9313652,9313652,9313652,-,intergenic,KH.C1.1243,KH.C1.1243.v1.A.ND1-1
KhL40,41750,41752,41750,-,intergenic,KH.L40.19,KH.L40.19.v2.A.ND3-1
KhC2,1465958,1465958,1465958,-,intergenic,KH.C2.600,KH.C2.600.v3.A.ND1-1
KhC2,1552368,1552417,1552408,-,TSS,KH.C2.103,KH.C2.103.v1.A.nonSL2-1
KhL37,81347,81350,81347,+,TSS,KH.L37.43,KH.L37.43.v1.A.nonSL3-1
KhC8,2287079,2287144,2287130,+,intergenic,KH.C8.411,KH.C8.411.v1.A.ND1-1
KhC3,4336745,4336746,4336745,+,intergenic,KH.C3.61,KH.C3.61.v1.A.nonSL3-1
KhC7,2224271,2224274,2224274,-,intron,KH.C7.54,KH.C7.54.v2.A.SL2-2
KhC4,3215964,3215973,3215970,-,intergenic,KH.C4.802,KH.C4.802.v1.A.ND1-1
KhC10,2500771,2500784,2500781,-,intron,KH.C10.230,KH.C10.230.v1.A.SL2-1
KhC3,3105764,3105836,3105830,-,TSS,KH.C3.383,KH.C3.383.v1.A.nonSL7-1
KhL166,41335,41360,41347,-,intron,KH.L166.1,KH.L166.1.v1.A.ND2-1
KhC12,3662969,3662989,3662974,-,TSS,KH.C12.96,KH.C12.96.v1.A.nonSL10-1
KhC14,2351480,2351554,2351504,+,TSS,KH.C14.232,KH.C14.232.v1.A.nonSL5-1
KhL112,177147,177261,177183,+,TSS,KH.L112.7,KH.L112.7.v1.A.nonSL2-1
KhL112,37360,37363,37360,+,intergenic,KH.L112.5,KH.L112.5.v1.A.ND1-1
KhC1,8071792,8071792,8071792,+,TSS,KH.C1.1048,KH.C1.1048.v1.A.ND1-1
KhC7,2766514,2766591,2766563,+,TSS,KH.C7.113,KH.C7.113.v1.A.nonSL7-1
KhC1,9215797,9215830,9215828,-,TSS,KH.C1.366,KH.C1.366.v1.A.nonSL5-1
KhL18,206570,206666,206618,+,TSS,KH.L18.77,KH.L18.77.v1.A.nonSL24-1
KhS2590,180,180,180,+,TSS,KH.S2590.1,KH.S2590.1.v1.A.nonSL4-1
KhC6,70690,70741,70726,+,TSS,KH.C6.57,KH.C6.57.v1.A.ND1-1
KhS3189,869,883,869,+,TSS,KH.S3189.1,KH.S3189.1.v1.B.ND1-1
KhC12,2646683,2646717,2646717,+,TSS,KH.C12.429,KH.C12.429.v1.A.nonSL3-1
KhL128,235478,235487,235478,+,intergenic,No_transcripts,No_transcripts
KhC8,224995,225021,225007,-,TSS,KH.C8.648,KH.C8.648.v1.A.nonSL4-2
KhC1,8948342,8948418,8948384,+,TSS,KH.C1.384,KH.C1.384.v1.A.nonSL6-1
KhL14,13465,13502,13491,+,TSS,KH.L14.3,KH.L14.3.v1.A.ND1-1
KhS406,52744,52755,52744,+,TSS,KH.S406.3,KH.S406.3.v1.A.nonSL43-1
KhC11,3299474,3299499,3299497,-,TSS,KH.C11.215,KH.C11.215.v1.A.ND1-1
KhC9,1928951,1928954,1928954,-,intergenic,KH.C9.380,KH.C9.380.v1.A.ND1-1
KhM0,2516,2523,2518,-,intergenic,No_transcripts,No_transcripts
KhC1,9702184,9702242,9702209,-,TSS,KH.C1.275,KH.C1.275.v5.A.ND2-2
KhL9,77543,77549,77549,+,TSS,KH.L9.40,KH.L9.40.v1.A.nonSL2-1
KhC7,523005,523024,523012,+,intergenic,KH.C7.238,KH.C7.238.v1.A.nonSL3-1
KhS1035,3481,3523,3509,-,intergenic,KH.S1035.1,KH.S1035.1.v2.A.nonSL9-1
KhC8,2268850,2268859,2268855,+,intergenic,KH.C8.184,KH.C8.184.v1.A.ND1-1
KhC1,7246723,7246723,7246723,-,TSS,KH.C1.645,KH.C1.645.v1.A.nonSL3-1
KhC5,4898619,4898642,4898642,+,TSS,KH.C5.644,KH.C5.644.v1.A.nonSL7-1
KhC8,720723,720723,720723,+,intergenic,KH.C8.251,KH.C8.251.v2.A.nonSL3-1
KhC9,3515440,3515445,3515440,+,TSS,KH.C9.13,KH.C9.13.v1.A.ND1-1
KhL20,474085,474089,474087,-,TSS,KH.L20.58,KH.L20.58.v1.A.nonSL4-1
KhC1,4665907,4665962,4665915,+,intergenic,KH.C1.856,KH.C1.856.v1.A.ND1-1
KhC11,799056,799155,799155,-,intron,KH.C11.297,KH.C11.297.v2.A.SL1-1
KhC11,1138192,1138226,1138192,+,TSS,KH.C11.95,KH.C11.95.v1.A.nonSL3-1
KhC12,65511,65550,65522,+,TSS,KH.C12.190,KH.C12.190.v1.A.nonSL2-1
KhC11,3131505,3131560,3131552,-,TSS,KH.C11.637,KH.C11.637.v1.A.nonSL3-1
KhL13,72459,72459,72459,-,TSS,KH.L13.15,KH.L13.15.v1.A.nonSL2-1
KhC3,4764751,4764752,4764751,+,TSS,KH.C3.107,KH.C3.107.v3.A.nonSL8-1
KhL140,62694,62721,62706,-,TSS,KH.L140.5,KH.L140.5.v1.A.nonSL4-1
KhC7,5635195,5635222,5635208,-,TSS,KH.C7.31,KH.C7.31.v2.C.nonSL8-1
KhS1653,3463,3505,3478,+,intergenic,No_transcripts,No_transcripts
KhC2,1084670,1084670,1084670,+,TSS,KH.C2.394,KH.C2.394.v1.A.nonSL5-1
KhC1,5575397,5575498,5575437,-,TSS,KH.C1.638,KH.C1.638.v1.A.nonSL6-1
KhL51,17181,17259,17188,-,TSS,KH.L51.6,KH.L51.6.v1.A.nonSL5-1
KhS497,6247,6279,6279,-,TSS,KH.S497.3,KH.S497.3.v1.B.nonSL4-1
KhC1,6845406,6845454,6845421,-,TSS,KH.C1.1297,KH.C1.1297.v1.A.nonSL2-1
KhL9,51837,51877,51862,-,intergenic,KH.L9.20,KH.L9.20.v1.A.nonSL3-1
KhS583,19667,19728,19670,+,TSS,KH.S583.1,KH.S583.1.v1.A.nonSL6-1
KhL153,610630,610633,610630,+,intergenic,KH.L153.60,KH.L153.60.v1.A.nonSL8-1
KhL18,447715,447764,447745,+,TSS,KH.L18.63,KH.L18.63.v1.A.nonSL7-1
KhC8,3488724,3488783,3488766,-,TSS,KH.C8.116,KH.C8.116.v1.A.nonSL64-1
KhL123,4968,4991,4970,-,TSS,KH.L123.8,KH.L123.8.v1.A.nonSL3-1
KhC2,7612947,7613022,7612988,+,TSS,KH.C2.283,KH.C2.283.v1.A.ND1-1
KhL84,195233,195272,195233,+,intergenic,KH.L84.8,KH.L84.8.v3.B.nonSL4-1
KhC1,9863315,9863318,9863318,-,intron,KH.C1.260,KH.C1.260.v1.B.ND1-1
KhC5,3373549,3373549,3373549,+,intergenic,KH.C5.232,KH.C5.232.v1.A.ND2-1
KhC11,2566254,2566254,2566254,+,intergenic,KH.C11.417,KH.C11.417.v1.B.ND1-1
